"schema_version","scene_id","line_id","arc","day","time_window","trigger","condition","priority","once_scope","sequence","speaker","contact","delivery","portrait","text","choice_a_id","choice_a_text","choice_a_reply","choice_a_effects","choice_a_next","choice_b_id","choice_b_text","choice_b_reply","choice_b_effects","choice_b_next","choice_c_id","choice_c_text","choice_c_reply","choice_c_effects","choice_c_next","enter_effects","auto_next","purpose"
"5","collapse_check_stable","collapse_check_stable_01","ending","5","day_end","collapse_check","schedule_failures>=3|counter.school_absences>=3|counter.job_failures>=2;counter.gamble_sessions<3;debt=0","502","game","1","Protagonist","나","ending","","도박으로 큰 손실을 만들지는 않았지만 학교와 과제와 알바 일정을 계속 놓쳤다. 무너진 생활을 다시 세우려면 무엇부터 바꿀지 도움을 받아 정리해야 한다.","","","","","","","","","","","","","","","","ending:set=collapse","","무도박 또는 조기 중단 일정 붕괴에 손실 복구 집착을 붙이지 않는다."
"5","collapse_check_gamble","collapse_check_gamble_01","ending","5","day_end","collapse_check","schedule_failures>=3|counter.school_absences>=3|counter.job_failures>=2;counter.gamble_sessions>=3;debt=0","501","game","1","Protagonist","나","ending","","잃은 돈을 되찾겠다는 생각에 학교와 과제와 알바 약속을 계속 놓쳤다. 빚은 만들지 않았지만 혼자 버티는 동안 일상은 이미 무너지고 있었다.","","","","","","","","","","","","","","","","ending:set=collapse","","고위험 무채무 일정 붕괴를 분리한다."
"5","collapse_check_debt","collapse_check_debt_01","ending","5","day_end","collapse_check","schedule_failures>=3|counter.school_absences>=3|counter.job_failures>=2;counter.gamble_sessions>=3;debt>0","503","game","1","Protagonist","나","ending","","잃은 돈을 되찾으려다 빚과 밀린 일정이 함께 남았다. 더 숨기면 학교와 알바와 관계까지 버틸 수 없다. 이제는 도움을 요청해야 한다.","","","","","","","","","","","","","","","","ending:set=collapse","","고위험 채무 일정 붕괴를 분리한다."
"5","sys_late_gamble_morning","sys_late_gamble_morning_01","main","2..5","7:00","day_start","flag.gambled_late=true;flag.borrow_deferred!=true;day!=2;day!=3","202","day","1","Protagonist","나","narration","","언제 잠든 거지.... 도박 앱을 켜둔 채 그대로 잠든 모양이다.","","","","","","","","","","","","","","","","","","밤새 도박한 경우 다음 날 오전 10시 기상과 지각을 자연스럽게 보여 준다."
"5","sys_late_gamble_morning","sys_late_gamble_morning_02","main","2..5","7:00","day_start","flag.gambled_late=true;flag.borrow_deferred!=true;day!=2;day!=3","202","day","2","Protagonist","나","narration","","벌써 오전 10시다.... 학교에 늦었다. 그래도 지금이라도 가는 편이 낫겠다.","","","","","","","","","","","","","","","","fatigue:add=1|counter.short_sleep_days:add=1|flag.gambled_late:set=false","","밤새 도박한 경우 다음 날 오전 10시 기상과 지각을 자연스럽게 보여 준다."
"5","sys_borrow_late_morning","sys_borrow_late_morning_01","sleep","2..5","10:00","day_start","day<0","203","day","1","Protagonist","나","narration","","눈을 뜨니 오전 열 시다. 어젯밤 돈을 어떻게 마련할지 생각하다 늦게 잠든 모양이다.","","","","","","","","","","","","","","","","","","밤늦은 차용 시도를 다음 날 아침으로 넘기고 일반 도박 밤샘 연출과 겹치지 않게 한다."
"5","sys_borrow_late_morning","sys_borrow_late_morning_02","sleep","2..5","10:00","day_start","day<0","203","day","2","Protagonist","나","narration","","...학교에 늦었다. 우선 어젯밤 생각한 일부터 정리하자.","","","","","","","","","","","","","","","","fatigue:add=1|counter.short_sleep_days:add=1|flag.borrow_deferred:set=false","","지각 상태를 짚은 뒤 아침 차용 선택으로 이어진다."
"5","d1_intro","d1_intro_01","main","1","7:00","new_game","","300","game","1","Narrator","","narration","","알람 소리에 눈을 떴다. 창밖은 이미 환했다.","","","","","","","","","","","","","","","","clock:set=07:00|cash:set=50000|debt:set=0|flag.gambling_started:set=false","","첫날 아침을 짧은 상황 묘사로 시작한다."
"5","d1_intro","d1_intro_02","main","1","7:00","new_game","","300","game","2","Protagonist","나","dialogue","","벌써 일곱 시네. ...조금만 더 누워 있고 싶다.","","","","","","","","","","","","","","","","","","평범한 아침의 망설임으로 시작한다."
"5","d1_intro","d1_intro_02a","main","1","7:00","new_game","","300","game","3","Protagonist","나","dialogue","","그래도 오늘까지 지각할 순 없지. 씻고 나가자.","","","","","","","","","","","","","","","","","","당연한 시간표 설명 대신 등교 동기를 자연스럽게 만든다."
