"scene_id","extra_trigger","return_to_tablet"
"after_gamble_1_router","","false"
"borrow_choice","","false"
"borrow_defer_night","","false"
"borrow_morning_cue","","false"
"borrow_prepare_mom","","true"
"borrow_prepare_seojun","","true"
"d1_after_first_gamble","","true"
"d1_first_gamble_stop","","true"
"d1_intro","","true"
"d1_message_cue","","false"
"d1_minjae_invite","","true"
"d1_mom_checkin","","false"
"d1_school","","false"
"ending_no_help","","false"
"ending_prevented","","false"
"gamble_1","","false"
"gamble_2","","true"
"gamble_3","","true"
"gamble_4","","true"
"gamble_5","","true"
"gamble_6","","true"
"gamble_7","","true"
"gamble_8","","true"
"gamble_no_funds","","true"
"gamble_no_funds_exhausted","","false"
"gamble_no_funds_stop","","true"
"gamble_repeat_loss","","true"
"late_first_gamble_return","","true"
"minjae_loan_accepted","","false"
"minjae_loan_offer","","false"
"minjae_loan_rejected","","false"
"mom_loan_message","","false"
"mom_loan_response","","true"
"seojun_loan_message","","false"
"seojun_loan_response","","true"
"sys_borrow_late_morning","","false"
"sys_late_gamble_morning","","false"
"sys_late_gamble_morning_weekend","","false"
"v5_d2_evening_done","","true"
"v5_d2_evening_missed","","true"
"v5_d2_job","","true"
"v5_d2_start","","true"
"v5_d3_evening_done","","true"
"v5_d3_evening_missed","","true"
"v5_d3_job_good","","true"
"v5_d3_job_return","","true"
"v5_d3_start","","true"
"v5_d4_evening","","true"
"v5_d4_help_response","","true"
"v5_d4_hide_result","","true"
"v5_d4_start_risk","","true"
"v5_d4_start_stable","","true"
"v5_d4_study_done_risk","","true"
"v5_d4_study_done_stable","","true"
"v5_d5_start_no_help","","true"
"v5_d5_start_prevented","","true"
"v5_d5_start_recovery","","true"
